Agent_ID,Stop_Number,Order_ID,Distance_km,Category,Priority_Score,Weather,Traffic,Cumulative_Distance_km
1,1,dazy306268524,17.08,Grocery,5.085,,NaN ,17.08
1,2,dcon508415556,9.06,Grocery,4.505,Sunny,Low ,26.13
1,3,gdka189674265,14.02,Grocery,4.505,Sunny,Medium ,40.16
1,4,gkpx624780474,7.57,Grocery,4.464,Stormy,Medium ,47.73
1,5,vssz271894095,4.6,Grocery,4.455,Windy,Jam ,52.33
1,6,mfcq658730458,7.45,Grocery,4.455,Sunny,Jam ,59.78
1,7,selp029339063,2.98,Grocery,4.425,Windy,Low ,62.76
1,8,aqnu839767348,16.82,Grocery,4.425,Sandstorms,Low ,79.59
1,9,cazf810075258,13.83,Grocery,4.414,Windy,Low ,93.41
1,10,vmly337374373,1.47,Grocery,4.375,Windy,Low ,94.88
1,11,bahn453372035,3.12,Grocery,4.375,Sandstorms,Low ,98.0
1,12,alce919143003,4.53,Grocery,4.375,Cloudy,Low ,102.52
1,13,wlvm828622601,10.59,Grocery,4.375,Sandstorms,Low ,113.12
1,14,qqjl805129936,1.49,Grocery,4.348,Fog,Low ,114.61
1,15,xash070865994,3.07,Grocery,4.348,Sunny,Low ,117.68
1,16,swup426487430,4.56,Grocery,4.348,Cloudy,Medium ,122.24
1,17,klil713169327,7.56,Grocery,4.348,Sunny,Jam ,129.8
1,18,dhmd768797034,12.42,Grocery,4.348,Sunny,Jam ,142.22
1,19,rvjj561158686,17.14,Grocery,4.336,Sunny,Jam ,159.36
1,20,jcpv625475369,9.08,Grocery,4.324,Sunny,Medium ,168.43
1,21,brje908165405,4.66,Grocery,4.31,Sunny,Medium ,173.1
1,22,dxnn031272242,9.31,Grocery,4.31,Fog,Medium ,182.41
1,23,wlrt752170819,1.53,Grocery,4.298,Cloudy,Low ,183.94
1,24,bhxi821373632,2.93,Grocery,4.298,Sandstorms,Low ,186.87
1,25,urzx674368807,4.66,Grocery,4.298,Sandstorms,Jam ,191.53
1,26,nckk050839971,7.76,Grocery,4.298,Cloudy,Low ,199.29
1,27,iyde706762940,13.41,Grocery,4.298,Windy,Low ,212.7
1,28,pzxj561920473,4.66,Grocery,4.286,Cloudy,Low ,217.36
1,29,uxnj679453815,9.19,Grocery,4.286,Fog,Low ,226.55
1,30,xfbm959177584,19.91,Grocery,4.286,Sandstorms,Low ,246.46
1,31,bwxw844562758,7.66,Grocery,4.274,Sunny,Jam ,254.12
1,32,jran909059355,10.59,Grocery,4.274,Stormy,Medium ,264.71
1,33,qzks694234104,10.72,Grocery,4.274,Windy,Jam ,275.43
1,34,pfmg080731156,1.55,Grocery,4.273,Windy,Low ,276.98
1,35,pypv382502329,3.02,Grocery,4.273,Sandstorms,Low ,280.0
